County Name,"One-Unit
Limit","Two-Unit
Limit","Three-Unit
Limit","Four-Unit
Limit"
MADISON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARENGO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARION COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARSHALL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MOBILE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONROE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONTGOMERY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MORGAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PERRY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PICKENS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PIKE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RANDOLPH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RUSSELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ST. CLAIR COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SHELBY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SUMTER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TALLADEGA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TALLAPOOSA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TUSCALOOSA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WALKER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WASHINGTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WILCOX COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WINSTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ALEUTIANS EAST BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
ALEUTIANS WEST CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
ANCHORAGE MUNICIPALITY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
BETHEL CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
BRISTOL BAY BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
DENALI BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
DILLINGHAM CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
FAIRBANKS NORTH STAR BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
HAINES BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
HOONAH-ANGOON CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
JUNEAU CITY AND BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
KENAI PENINSULA BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
KETCHIKAN GATEWAY BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
KODIAK ISLAND BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
KUSILVAK CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
LAKE AND PENINSULA BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
MATANUSKA-SUSITNA BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
NOME CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
NORTH SLOPE BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
NORTHWEST ARCTIC BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
PETERSBURG CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
PRINCE OF WALES-HYDER CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
SITKA CITY AND BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
SKAGWAY MUNICIPALITY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
SOUTHEAST FAIRBANKS CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
VALDEZ-CORDOVA CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
WRANGELL CITY AND BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
YAKUTAT CITY AND BOROUGH,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
YUKON-KOYUKUK CENSUS AREA,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
APACHE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COCHISE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COCONINO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GILA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GRAHAM COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GREENLEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LA PAZ COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARICOPA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MOHAVE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
NAVAJO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PIMA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PINAL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SANTA CRUZ COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
YAVAPAI COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
YUMA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ARKANSAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ASHLEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BAXTER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BENTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BOONE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BRADLEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CALHOUN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CARROLL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHICOT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLARK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLAY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLEBURNE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLEVELAND COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COLUMBIA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CONWAY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CRAIGHEAD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CRAWFORD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CRITTENDEN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CROSS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DALLAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DESHA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DREW COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FAULKNER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FRANKLIN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FULTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GARLAND COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GRANT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GREENE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HEMPSTEAD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HOT SPRING COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HOWARD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
INDEPENDENCE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
IZARD COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JACKSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JEFFERSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JOHNSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAFAYETTE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAWRENCE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LINCOLN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LITTLE RIVER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LOGAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LONOKE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MADISON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARION COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MILLER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MISSISSIPPI COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONROE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONTGOMERY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
NEVADA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
NEWTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OUACHITA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PERRY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PHILLIPS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PIKE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
POINSETT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
POLK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
POPE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PRAIRIE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PULASKI COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RANDOLPH COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ST. FRANCIS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SALINE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SCOTT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SEARCY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SEBASTIAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SEVIER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SHARP COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
STONE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
UNION COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
VAN BUREN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WASHINGTON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WHITE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
WOODRUFF COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
YELL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ALAMEDA COUNTY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
ALPINE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
AMADOR COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BUTTE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CALAVERAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COLUSA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CONTRA COSTA COUNTY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
DEL NORTE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
EL DORADO COUNTY,"$675,050 ","$864,200 ","$1,044,600 ","$1,298,200 "
FRESNO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GLENN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HUMBOLDT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
IMPERIAL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
INYO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
KERN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
KINGS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAKE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LASSEN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LOS ANGELES COUNTY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
MADERA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MARIN COUNTY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
MARIPOSA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MENDOCINO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MERCED COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MODOC COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONTEREY COUNTY,"$854,450 ","$1,093,850 ","$1,322,200 ","$1,643,200 "
NAPA COUNTY,"$897,000 ","$1,148,350 ","$1,388,050 ","$1,725,050 "
NEVADA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ORANGE COUNTY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
PLACER COUNTY,"$675,050 ","$864,200 ","$1,044,600 ","$1,298,200 "
PLUMAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RIVERSIDE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SACRAMENTO COUNTY,"$675,050 ","$864,200 ","$1,044,600 ","$1,298,200 "
SAN BENITO COUNTY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
SAN BERNARDINO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SAN DIEGO COUNTY,"$879,750 ","$1,126,250 ","$1,361,350 ","$1,691,850 "
SAN FRANCISCO COUNTY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
SAN JOAQUIN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SAN LUIS OBISPO COUNTY,"$805,000 ","$1,030,550 ","$1,245,700 ","$1,548,100 "
SAN MATEO COUNTY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
SANTA BARBARA COUNTY,"$783,150 ","$1,002,600 ","$1,211,900 ","$1,506,100 "
SANTA CLARA COUNTY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
SANTA CRUZ COUNTY,"$970,800 ","$1,243,050 ","$1,502,475 ","$1,867,275 "
SHASTA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SIERRA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SISKIYOU COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SOLANO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SONOMA COUNTY,"$764,750 ","$979,000 ","$1,183,400 ","$1,470,700 "
STANISLAUS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SUTTER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TEHAMA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TRINITY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TULARE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
TUOLUMNE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
VENTURA COUNTY,"$851,000 ","$1,089,450 ","$1,316,900 ","$1,636,550 "
YOLO COUNTY,"$675,050 ","$864,200 ","$1,044,600 ","$1,298,200 "
YUBA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ADAMS COUNTY,"$684,250 ","$875,950 ","$1,058,850 ","$1,315,900 "
ALAMOSA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ARAPAHOE COUNTY,"$684,250 ","$875,950 ","$1,058,850 ","$1,315,900 "
ARCHULETA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BACA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BENT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
BOULDER COUNTY,"$747,500 ","$956,950 ","$1,156,700 ","$1,437,500 "
BROOMFIELD COUNTY,"$684,250 ","$875,950 ","$1,058,850 ","$1,315,900 "
CHAFFEE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CHEYENNE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CLEAR CREEK COUNTY,"$684,250 ","$875,950 ","$1,058,850 ","$1,315,900 "
CONEJOS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
COSTILLA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CROWLEY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
CUSTER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DELTA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DENVER COUNTY,"$684,250 ","$875,950 ","$1,058,850 ","$1,315,900 "
DOLORES COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
DOUGLAS COUNTY,"$684,250 ","$875,950 ","$1,058,850 ","$1,315,900 "
EAGLE COUNTY,"$862,500 ","$1,104,150 ","$1,334,700 ","$1,658,700 "
ELBERT COUNTY,"$684,250 ","$875,950 ","$1,058,850 ","$1,315,900 "
EL PASO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
FREMONT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GARFIELD COUNTY,"$856,750 ","$1,096,800 ","$1,325,800 ","$1,647,650 "
GILPIN COUNTY,"$684,250 ","$875,950 ","$1,058,850 ","$1,315,900 "
GRAND COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
GUNNISON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HINSDALE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
HUERFANO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JACKSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
JEFFERSON COUNTY,"$684,250 ","$875,950 ","$1,058,850 ","$1,315,900 "
KIOWA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
KIT CARSON COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAKE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LA PLATA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LARIMER COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LAS ANIMAS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LINCOLN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
LOGAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MESA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MINERAL COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MOFFAT COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONTEZUMA COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MONTROSE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
MORGAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OTERO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
OURAY COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PARK COUNTY,"$684,250 ","$875,950 ","$1,058,850 ","$1,315,900 "
PHILLIPS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PITKIN COUNTY,"$856,750 ","$1,096,800 ","$1,325,800 ","$1,647,650 "
PROWERS COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
PUEBLO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RIO BLANCO COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
RIO GRANDE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
ROUTT COUNTY,"$678,500 ","$868,600 ","$1,049,950 ","$1,304,850 "
SAGUACHE COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SAN JUAN COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SAN MIGUEL COUNTY,"$756,700 ","$968,700 ","$1,170,950 ","$1,455,200 "
SEDGWICK COUNTY,"$647,200 ","$828,700 ","$1,001,650 ","$1,244,850 "
SUMMIT COUNTY,"$822,375 ","$1,053,000 ","$1,272,750 ","$1,581,750 "
